"","refmet_name","super_class","main_class","sub_class","formula","exactmass","inchi_key","pubchem_cid","standard","pubchem_sid","KEGGID","chebiid"
"64","Neopterin","Organoheterocyclic compounds","Pterins","Biopterins","C9H11N5O4","253.0811","BMQYVXCPAOLZOK-UHFFFAOYSA-N","135408877",NA,487208,NA,NA
"79","Didanosine","Nucleic acids","Purines","Purine deoxyribonucleosides","C10H12N4O3","236.0909","BXZVVICBKDXVGW-NKWVEPMBSA-N","135398739",NA,9168,"C06953",NA
"80","6,8-Dihydroxypurine","Nucleic acids","Purines","Hypoxanthines","C5H4N4O2","152.033425","BYUOBSUZYQAFJM-UHFFFAOYSA-N","135414099",NA,85113,NA,NA
"87","Vanillylmandelic acid","Benzenoids","Phenylacetic acids","Phenylacetic acids","C9H10O5","198.0528","CGQCWMIAEPEHNQ-QMMMGPOBSA-N","736172",NA,8001683,NA,NA
"100","3-Methylhistamine","Organic nitrogen compounds","Amines","Aralkylamines","C6H11N3","125.0953","CPAGZVLINCPJEH-UHFFFAOYSA-N","69520",NA,4621770,NA,NA
"103","C-Glycosyltryptophan","Organic acids","Amino acids and peptides","Amino acids","C17H22N2O7","366.1427","CPXSBHKDEPPWIX-NJORQXHJSA-N","21775807",NA,37098327,NA,NA
"119","Nicotinamide ribotide","Nucleic acids","Nicotinamides","Nicotinamide nucleotides","C11H15N2O8P","334.0566","DAYLJWODMCOQEW-TURQNECASA-N","135433360",NA,14180,"C12023",NA
"128","Creatinine","Organoheterocyclic compounds","Azolines","Imidazolines","C4H7N3O","113.0589","DDRJAANPRJIHGJ-UHFFFAOYSA-N","137319715",NA,2551,NA,NA
"130","2-Aminohippuric acid","Benzenoids","Benzamides","Hippuric acids","C9H10N2O3","194.069143","DEFPNMKDESPGBA-UHFFFAOYSA-N","3080562",NA,7016915,NA,NA
"131","GlcCer(d18:1/20:0)","Sphingolipids","Glycosphingolipids","HexCer","C44H85NO8","755.6275","DFELABABMXOKTD-QIKWIXAXSA-N","6321358",NA,14714486,NA,NA
"147","GlcCer(d18:1/26:0)","Sphingolipids","Glycosphingolipids","HexCer","C50H97NO8","839.7214","DOIOUJPHIXRQFM-YNFHLPPXSA-N","6321363",NA,14714491,NA,NA
"161","CAR(17:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C24H47NO4","413.3505","DWSFAVOTORHAAL-JOCHJYFZSA-N","145720489",NA,402380509,NA,NA
"162","Campesterol ester(18:2)","Sterol Lipids","Sterol esters","Chol. esters","C46H78O2","662.600181","DWTYTVTUGPAKRN-MRDGGECFSA-N","69169003",NA,160780528,NA,NA
"170","Hypoxanthine","Nucleic acids","Purines","Hypoxanthines","C5H4N4O","136.0385","FDGQSTZJBFJUBT-UHFFFAOYSA-N","135398638",NA,2813,NA,NA
"186","CAR(11:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C18H35NO4","329.2566","FPUYBGZEWPJSDX-MRXNPFEDSA-N","191006",NA,33512246,NA,NA
"187","Cer(d20:1/24:0)","Sphingolipids","Ceramides","Cer","C44H87NO3","677.6686","FRWWCDHJRWYDOU-GVOPMEMSSA-N","134730643",NA,363605752,NA,NA
"188","Cyclomethyltryptophan","Organoheterocyclic compounds","Indoles","Pyridoindoles","C12H12N2O2","216.089878","FSNCEEGOMTYXKY-JTQLQIEISA-N","449440",NA,3177630,NA,NA
"191","Cer(d18:0/23:0)","Sphingolipids","Ceramides","DHCer","C41H83NO3","637.6373","FTSDYFFYZJTACJ-IOLBBIBUSA-N","53481049",NA,231037959,NA,NA
"196","Cer(d18:1/21:0)","Sphingolipids","Ceramides","Cer","C39H77NO3","607.5903","FWXJRGLCUAXNLA-PQPBPFPMSA-N","100942254",NA,272761282,NA,NA
"197","2-Acetylpyrrolidine","Organoheterocyclic compounds","Pyrrolidines","Pyrrolidines","C6H11NO","113.084064","FYCFJMPASVKULQ-UHFFFAOYSA-N","550747",NA,8678409,NA,NA
"200","7-Methylguanine","Nucleic acids","Purines","Hypoxanthines","C6H7N5O","165.0651","FZWGECJQACGGTI-UHFFFAOYSA-N","135398679",NA,5305,"C02242",NA
"201","CAR(DC10:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C17H31NO6","345.2151","GBFPILOKXGQZKW-CQSZACIVSA-N","131801579",NA,348356701,NA,NA
"209","Cer(d16:0/16:0)","Sphingolipids","Ceramides","DHCer","C32H65NO3","511.4964","GFUGOEQVSHGJMI-IOWSJCHKSA-N","15511094",NA,121265673,NA,NA
"220","Isoxanthopterin","Organoheterocyclic compounds","Pterins","Pterins","C6H5N5O2","179.0443","GLKCOBIIZKYKFN-UHFFFAOYSA-N","135398700",NA,6694,"C03975",NA
"222","DMGV","Organic acids","Keto acids","Short-chain keto acids","C8H15N3O3","201.111342","GLWRPXRMUUZNMD-UHFFFAOYSA-N","101535539",NA,273960987,NA,NA
"230","IMP","Nucleic acids","Purines","Purine ribonucleoside monophosphates","C10H13N4O8P","348.0471","GRSZFWQUAKGDAV-KQYNXXCUSA-N","135398640",NA,3430,"C00130",NA
"239","CAR(19:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C26H51NO4","441.3818","GWKZIORVZQMWMC-XMMPIXPASA-N","145720491",NA,402380510,NA,NA
"242","dGTP","Nucleic acids","Purines","Purine deoxyribonucleoside triphosphates","C10H16N5O13P3","506.9958","HAAZLUGHYHWQIW-KVQBGUIXSA-N","135398599",NA,3581,"C00286",NA
"243","ITP","Nucleic acids","Purines","Purine ribonucleoside triphosphates","C10H15N4O14P3","507.9798","HAEJPQIATWHALX-KQYNXXCUSA-N","135398643",NA,3381,"C00081",NA
"245","8-Hydroxy-deoxyguanosine","Nucleic acids","Purines","Purine deoxyribonucleosides","C10H13N5O5","283.091669","HCAJQHYUCKICQH-VPENINKCSA-N","135440064",NA,584902,NA,NA
"255","Lignoceroyl-EA","Fatty Acyls","Fatty amides","N-acyl ethanolamines","C26H53NO2","411.4076","HJPVEPFLQVCCLM-UHFFFAOYSA-N","14455161",NA,49681197,NA,NA
"257","13S-HOTrE(gamma)","Fatty Acyls","Octadecanoids","HOTrEs","C18H30O3","294.2195","HNBLUNXZQNJFRB-KYLWABQHSA-N","5282971",NA,11038664,NA,NA
"262","Pterin","Organoheterocyclic compounds","Pterins","Pterins","C6H5N5O","163.0494","HNXQXTQTPAJEJL-UHFFFAOYSA-N","135398660",NA,3981,"C00715",NA
"268","UDP-glucose","Nucleic acids","Pyrimidines","Pyrimidine ribonucleoside diphosphates","C15H24N2O17P2","566.0550","HSCJRCZFDFQWRP-LPTOLDDLSA-N","53477679",NA,312225699,NA,NA
"279","Oxypurinol","Nucleic acids","Purines","Xanthines","C5H4N4O2","152.0334","HXNFUBHNUDHIGC-UHFFFAOYSA-N","135398752",NA,9801,"C07599",NA
"282","(R)-Salsolinol","Organoheterocyclic compounds","Tetrahydroisoquinolines","Tetrahydroisoquinolines","C10H13NO2","179.0946","IBRKLUSXDYATLG-ZCFIWIBFSA-N","7157331",NA,16166801,NA,NA
"304","Gibberellin A3","Prenol Lipids","Isoprenoids","C20 isoprenoids","C19H22O6","346.1416","IXORZMNAPKEEDV-OBDJNFEBSA-N","439551",NA,4839,"C01699",NA
"306","Undecanoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C32H56N7O17P3S","935.2666","IZWCGXGZGYKDHR-WMMBNDHFSA-N","53481608",NA,274360873,NA,NA
"309","SM(d18:2/23:0)","Sphingolipids","Sphingomyelins","SM","C46H91N2O6P","798.6615","JBDGKEXQKCCQFK-JWQIMADESA-N","52931209",NA,123068786,NA,NA
"310","Olopatadine","Organoheterocyclic compounds","Dibenzoxepines","Dibenzoxepines","C21H23NO3","337.167794","JBIMVDZLSHOPLA-LSCVHKIXSA-N","5281071",NA,9991,"C07789",NA
"333","IDP","Nucleic acids","Purines","Purine ribonucleoside diphosphates","C10H14N4O11P2","428.0134","JPXZQMKKFWMMGK-KQYNXXCUSA-N","135398651",NA,3404,"C00104",NA
"340","2E-Hexadecenoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C37H64N7O17P3S","1003.3292","JUPAQFRKPHPXLD-MRQAMEQYSA-N","16061165",NA,40651949,NA,NA
"363","Argininosuccinic acid","Organic acids","Amino acids and peptides","Amino acids","C10H18N4O6","290.1226","KDZOASGQNOPSCU-WDSKDSINSA-N","16950",NA,6235,"C03406",NA
"368","Allopurinol riboside","Nucleic acids","Purines","Pyrazolo[3,4-d]pyrimidine glycosides","C10H12N4O5","268.080771","KFQUAMTWOJHPEJ-DAGMQNCNSA-N","135407110",NA,603404,NA,NA
"385","CAR(26:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C33H65NO4","539.4914","KOCKWDDTAHPJSX-WJOKGBTCSA-N","145720497",NA,402380513,NA,NA
"400","Cer(d17:1/16:0)","Sphingolipids","Ceramides","Cer","C33H65NO3","523.4964","KXVLPPCAUYSNGY-STSAHMJASA-N","10256256",NA,15259653,NA,NA
"425","Biopterin","Organoheterocyclic compounds","Pterins","Biopterins","C9H11N5O3","237.0862","LHQIJBMDNUYRAM-DZSWIPIPSA-N","135403659",NA,583996,NA,NA
"432","16-Hydroxyprogesterone","Sterol Lipids","Steroids","C21 steroids","C21H30O3","330.219496","LOVNYFVWYTXDRE-WMSSUOLPSA-N","161045",NA,46235959,NA,NA
"444","4-Hydroxy-3-methylacetophenone","Organic oxygen compounds","Carbonyl compounds","Alkyl-phenylketones","C9H10O2","150.06808","LXBHHIZIQVZGFN-UHFFFAOYSA-N","70135",NA,110053,NA,NA
"449","CAR(15:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C22H43NO4","385.3192","MDDWQHVKSHTZTD-HXUWFJFHSA-N","145720488",NA,402380508,NA,NA
"453","7-Aminomethyl-7-carbaguanine","Organoheterocyclic compounds","Heterocyclic compounds","Pyrrolopyrimidines","C7H9N5O","179.0807","MEYMBLGOKYDGLZ-UHFFFAOYSA-N","135398563",NA,829087,NA,NA
"455","N,N-Diphenylguanidine","Benzenoids","Benzenes","Benzenes","C13H13N3","211.110947","MFHNAXHSHOCFEC-UHFFFAOYSA-N","14657",NA,7489700,NA,NA
"469","GDP-mannose","Nucleic acids","Purines","Purine nucleotide sugars","C16H25N5O16P2","605.077153","MVMSCBBUIHUTGJ-GDJBGNAASA-N","135398627",NA,3396,"C00096",NA
"473","N-6-Trimethyllysine","Organic acids","Amino acids and peptides","Amino acids","C9H20N2O2","188.1525","MXNRLFUSFKVQSK-QMMMGPOBSA-N","440120",NA,6542,"C03793",NA
"484","Hexose 6-phosphate","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C6H13O9P","260.0297","NBSCHQHZLSJFNQ-UHFFFAOYSA-N","208",NA,5880,"C02965",NA
"488","SM(d18:2/18:0)","Sphingolipids","Sphingomyelins","SM","C41H81N2O6P","728.5832","NELGJAUZKNHZLS-NUIAMLAYSA-N","52931161",NA,123068761,NA,NA
"493","Cer(d17:1/22:0)","Sphingolipids","Ceramides","Cer","C39H77NO3","607.5903","NHEGYDMEFDPAEY-PQPBPFPMSA-N","134752283",NA,363605424,NA,NA
"508","CAR(DC7:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C14H25NO6","303.1682","NTBUXPPQHCFLOM-LLVKDONJSA-N","53481675",NA,NA,NA,NA
"514","CAR(DC5:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C12H21NO6","275.1369","NXJAXUYOQLTISD-VIFPVBQESA-N","53481622",NA,312227727,NA,NA
"515","Guanosine","Nucleic acids","Purines","Purine ribonucleosides","C10H13N5O5","283.0917","NYHBQMYGNKIUIF-UUOKFMHZSA-N","135398635",NA,2780,NA,NA
"522","Cer(d17:0/18:0)","Sphingolipids","Ceramides","DHCer","C35H71NO3","553.5434","OEMOGFAQCPIEJS-SZAHLOSFSA-N","134754799",NA,363605392,NA,NA
"527","Allopurinol","Nucleic acids","Pyrimidines","Pyrazolo[3,4-d]pyrimidines","C5H4N4O","136.0385","OFCNXPDARWKPPY-UHFFFAOYSA-N","135401907",NA,68199,NA,NA
"528","alpha-Hydroxymetoprolol","Benzenoids","Phenols","Phenol ethers","C15H25NO4","283.1784","OFRYBPCSEMMZHR-UHFFFAOYSA-N","114962",NA,10236571,NA,NA
"529","Nicotinic acid mononucleotide","Organic oxygen compounds","Organooxygen compounds","Organooxygen compounds","C11H16NO9P","337.056268","OGCWVIVNTBZPBW-BHRXDNSCSA-N","53477721",NA,312226048,NA,NA
"537","CAR(13:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C20H39NO4","357.2879","OLAOWMDKXPIITQ-GOSISDBHSA-N","88244659",NA,233610729,NA,NA
"545","Hydroxymephenytoin","Organoheterocyclic compounds","Azoles","Imidazolidines","C12H14N2O3","234.100442","OQPLORUDZLXXPD-UHFFFAOYSA-N","119507",NA,6098756,NA,NA
"556","Ethyl 2-pyrrolecarboxylate","Organoheterocyclic compounds","Pyrrole carboxylic acids","Pyrrole carboxylic acids","C7H9NO2","139.063329","PAEYAKGINDQUCT-UHFFFAOYSA-N","255670",NA,120495,NA,NA
"559","Chromone-3-carboxylic acid","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","C10H6O4","190.026609","PCIITXGDSHXTSN-UHFFFAOYSA-N","181620",NA,3154858,NA,NA
"570","3-(1-Pyrazolyl)-alanine","Organic acids","Amino acids and peptides","Amino acids","C6H9N3O2","155.069477","PIGOPELHGLPKLL-UHFFFAOYSA-N","119630",NA,6108445,NA,NA
"578","Dolicholide","Sterol Lipids","Sterols","Brassinolides","C28H46O6","478.32944","PPFRJNLKWADOTL-WOGJWQOOSA-N","11038144",NA,16102423,NA,NA
"592","N-Formylmethionine","Organic acids","Amino acids and peptides","Amino acids","C6H11NO3S","177.0460","PYUSHNKNPOHWEZ-RXMQYKEDSA-N","6995182",NA,43597319,NA,NA
"596","Resolvin D3","Fatty Acyls","Docosanoids","Docosanoids","C22H32O5","376.2250","QBTJOLCUKWLTIC-LWJDKMHHSA-N","53477497",NA,160639121,NA,NA
"597","Biliverdin","Organoheterocyclic compounds","Bilirubins","Bilirubins","C33H34N4O6","582.2478","QBUVFDKTZJNUPP-BBROENKCSA-N","5280353",NA,3783,"C00500",NA
"602","Heptadecanedioic acid","Fatty Acyls","Fatty acids","Dicarboxylic acids","C17H32O4","300.2301","QCNWZROVPSVEJA-UHFFFAOYSA-N","3083765",NA,9471508,NA,NA
"607","GDP","Nucleic acids","Purines","Purine ribonucleoside diphosphates","C10H15N5O11P2","443.0243","QGWNDRXFNXRZMB-UUOKFMHZSA-N","135398619",NA,3337,"C00035",NA
"615","CAR(3:0(OH))","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C10H19NO5","233.1263","QJGJXKFJFRSERW-QMMMGPOBSA-N","53481613",NA,312227722,NA,NA
"624","Cer(d18:0/17:0)","Sphingolipids","Ceramides","DHCer","C35H71NO3","553.5434","QZDZZVCCCYWHDN-SZAHLOSFSA-N","52931125",NA,160780150,NA,NA
"648","psi-Pelletierine","Organoheterocyclic compounds","Piperidinones","Piperidinones","C9H15NO","153.1154","RHWSKVCZXBAWLZ-UHFFFAOYSA-N","11096",NA,13048,"C10865",NA
"653","Phytanic acid","Prenol Lipids","Isoprenoids","C20 isoprenoids","C20H40O2","312.3028","RLCKHJSFHOZMDR-GUDVDZBRSA-N","10380830",NA,15395810,NA,NA
"659","Adrenochrome","Organoheterocyclic compounds","Indoles","Indoles","C9H9NO3","179.058243","RPHLQSHHTJORHI-UHFFFAOYSA-N","5898",NA,477509,NA,NA
"660","GMP","Nucleic acids","Purines","Purine ribonucleoside monophosphates","C10H14N5O8P","363.0580","RQFCJASXJCIDSX-UUOKFMHZSA-N","135398631",NA,3444,"C00144",NA
"662","N2,N2-Dimethylguanosine","Nucleic acids","Purines","Purine nucleosides","C12H17N5O5","311.12297","RSPURTUNRHNVGF-IOSLPCCCSA-N","135501639",NA,15975949,NA,NA
"667","1-Carboxymethylmetronidazole","Organoheterocyclic compounds","Azoles","Imidazoles","C6H7N3O4","185.043657","RVEGZXNRNWUYKI-UHFFFAOYSA-N","115249",NA,4106693,NA,NA
"671","3'-O-Methyladenosine","Nucleic acids","Purines","Purine nucleosides","C11H15N5O4","281.112404","RYAFZRROCNNRFK-IOSLPCCCSA-N","82530",NA,3718408,NA,NA
"672","Geranyl acetoacetate","Fatty Acyls","Fatty esters","Wax diesters","C14H22O3","238.156895","RYILZWKGLGVPOC-WQLSENKSSA-N","54611954",NA,419539,NA,NA
"679","Dehydroascorbic acid","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","C6H6O6","174.0164","SBJKKFFYIZUCET-DUZGATOHSA-N","210328",NA,9369512,NA,NA
"690","GlcCer(d18:1/23:0)","Sphingolipids","Glycosphingolipids","HexCer","C47H91NO8","797.6745","SJGWLQDELUWRDA-MUYAOIFFSA-N","52931253",NA,123068818,NA,NA
"691","2-Methylguanosine","Nucleic acids","Purines","Purine nucleosides","C11H15N5O5","297.107319","SLEHROROQDYRAW-KQYNXXCUSA-N","135501934",NA,16951281,NA,NA
"700","Glycohyodeoxycholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H43NO5","449.3141","SPOIYSFQOFYOFZ-BRDORRHWSA-N","114611",NA,10236427,NA,NA
"704","Retapamulin","Prenol Lipids","Isoprenoids","C20 isoprenoids","C30H47NO4S","517.32258","STZYTFJPGGDRJD-FJJJPKKESA-N","6918462",NA,12015312,NA,NA
"722","L-Urobilin","Organoheterocyclic compounds","Bilirubins","Bilirubins","C33H46N4O6","594.3417","TYOWQSLRVAUSMI-WKULSOCRSA-N","5280818",NA,8088,"C05793",NA
"723","Tridecanoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C34H60N7O17P3S","963.2979","TZKUYUHMJHEXOQ-XILBVEEWSA-N","53481606",NA,274360875,NA,NA
"731","C20 Sphinganine","Sphingolipids","Sphingoid bases","Sphinganines","C20H43NO2","329.3294","UFMHYBVQZSPWSS-VQTJNVASSA-N","11616885",NA,16719799,NA,NA
"735","Inosine","Nucleic acids","Purines","Purine ribonucleosides","C10H12N4O5","268.0808","UGQMRVRMYYASKQ-KQYNXXCUSA-N","135398641",NA,2827,NA,NA
"742","CAR(DC18:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C25H47NO6","457.340300","ULCCGBCYWCYNIC-JOCHJYFZSA-N","145720513",NA,402380521,NA,NA
"743","CAR(DC12:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C19H35NO6","373.2464","ULLMWXPSQSZINF-MRXNPFEDSA-N","145720503",NA,402380516,NA,NA
"745","Homoarecoline","Organoheterocyclic compounds","Pyridines",NA,"C9H15NO2","169.110279","UNARQANIGOBIHM-UHFFFAOYSA-N","34167",NA,5025497,NA,NA
"751","O-Desmethyltramadol","Benzenoids","Cyclohexylphenols","Cyclohexylphenols","C15H23NO2","249.172879","UWJUQVWARXYRCG-HIFRSBDPSA-N","9838803",NA,15122179,NA,NA
"753","Guanine","Nucleic acids","Purines","Hypoxanthines","C5H5N5O","151.0494","UYTPUPDQBNUYGX-UHFFFAOYSA-N","135398634",NA,2779,NA,NA
"766","Deoxyinosine","Nucleic acids","Purines","Purine 2'-deoxyribonucleosides","C10H12N4O4","252.085855","VGONTNSXDCQUGY-RRKCRQDMSA-N","135398593",NA,2620,NA,NA
"768","GlcCer(d18:1/16:0)","Sphingolipids","Glycosphingolipids","HexCer","C40H77NO8","699.5649","VJLLLMIZEJJZTE-BFZYYLOBSA-N","6321355",NA,14714483,NA,NA
"770","Ethyl-N-ethylanthranilic acid","Benzenoids","Benzenes","Benzoic acids","C11H15NO2","193.110279","VKRBJLSSQUIOHL-UHFFFAOYSA-N","61980",NA,8187825,NA,NA
"777","CAR(5:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C12H23NO4","245.1627","VSNFQQXVMPSASB-JTQLQIEISA-N","53481619",NA,312227725,NA,NA
"780","Xanthopterin","Organoheterocyclic compounds","Pterins","Pterins","C6H5N5O2","179.0443","VURKRJGMSKJIQX-UHFFFAOYSA-N","135403800",NA,96559,NA,NA
"782","Folinic acid","Organoheterocyclic compounds","Pterins","Tetrahydrofolic acids","C20H23N7O7","473.165896","VVIAGPKUTFNRDU-STQMWFEESA-N","135398559",NA,6294,"C03479",NA
"800","11-Ketoprogesterone","Sterol Lipids","Steroids","C21 steroids","C21H28O3","328.203845","WKAVAGKRWFGIEA-DADBAOPHSA-N","94166",NA,10226338,NA,NA
"810","Hexose","Carbohydrates","Monosaccharides","Monosaccharides","C6H12O6","180.0634","WQZGKKKJIJFFOK-UHFFFAOYSA-N","206",NA,4001,"C00738",NA
"813","11-Hydroxyandrostenedione","Sterol Lipids","Steroids","C19 steroids","C19H26O3","302.188195","WSCUHXPGYUMQEX-CRIVMUBDSA-N","108106",NA,841265,NA,NA
"820","L-threo-Sphingosine","Organic nitrogen compounds","Sphingoid bases","Sphingosines","C18H37NO2","299.282429","WWUZIQQURGPMPG-DNWQSSKHSA-N","11130338",NA,16206619,NA,NA
"826","Cer(d16:1/23:0)","Sphingolipids","Ceramides","Cer","C39H77NO3","607.5903","WYSRACVJQVNCRW-PQPBPFPMSA-N","11273482",NA,16359630,NA,NA
"827","5-Hydroxymethyl-4-methyluracil","Nucleic acids","Pyrimidines","Pyrimidones","C6H8N2O3","156.053492","XBAVGYMDOXCWQU-UHFFFAOYSA-N","8983",NA,77707,NA,NA
"842","2-Methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid","Organic acids","Sulfonic acids","Sulfonic acids","C7H13NO4S","207.056529","XHZPRMZZQOIPDS-UHFFFAOYSA-N","65360",NA,3156321,NA,NA
"847","GTP","Nucleic acids","Purines","Purine ribonucleoside triphosphates","C10H16N5O14P3","522.9907","XKMLYUALXHKNFT-UUOKFMHZSA-N","135398633",NA,3346,"C00044",NA
"848","Glu-Phe","Organic acids","Amino acids and peptides","Dipeptides","C14H18N2O5","294.121573","XMBSYZWANAQXEV-QWRGUYRKSA-N","18653118",NA,54407221,NA,NA
"857","CAR(DC3:0(2Me))","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C11H19NO6","261.1212","XROYFEWIXXCPAW-MQWKRIRWSA-N","53481628",NA,312227730,NA,NA
"861","Tauromuricholic acid","Sterol Lipids","Bile acids","C24 bile acids","C26H45NO7S","515.2917","XSOLDPYUICCHJX-YMMVRPEVSA-N","145714662",NA,402374375,NA,NA
"876","Methyl-2-hydoxyisobutyric acid","Organic oxygen compounds","Alcohols and polyols","Tertiary alcohols","C5H10O3","118.062995","XYVQFUJDGOBPQI-UHFFFAOYSA-N","75024",NA,73208,NA,NA
"879","bis(2-Ethylhexyl)phthalic acid","Benzenoids","Benzoic acids","Benzoic acids","C24H38O4","390.2770","XZYRJVLKSRQAGD-UHFFFAOYSA-N","19752116",NA,53785105,NA,NA
"887","CAR(24:0)","Fatty Acyls","Fatty esters","Acyl carnitines","C31H61NO4","511.4601","YDUFZFUYBBPVLJ-GDLZYMKVSA-N","145720495",NA,402380512,NA,NA
"894","Choline phosphate","Organic nitrogen compounds","Cholines","Cholines","C5H14NO4P","183.0660","YHHSONZFOIEMCP-UHFFFAOYSA-N","135437",NA,10243927,NA,NA
"895","GlcCer(d18:1/22:0)","Sphingolipids","Glycosphingolipids","HexCer","C46H89NO8","783.6588","YIGARKIIFOHVPF-YAEABVQUSA-N","6321359",NA,14714487,NA,NA
"896","Deoxyguanosine","Nucleic acids","Purines","Purine deoxyribonucleosides","C10H13N5O4","267.0968","YKBGVTZYEHREMT-KVQBGUIXSA-N","135398592",NA,2619,NA,NA
"897","Methyl 3-hydroxybenzoate","Benzenoids","Benzoic acids","m-Hydroxybenzoic acid esters","C8H8O3","152.047345","YKUCHDXIBAQWSF-UHFFFAOYSA-N","88068",NA,95722,NA,NA
"898","SM(d18:2/16:0)","Sphingolipids","Sphingomyelins","SM","C39H77N2O6P","700.5519","YLWSJLLZUHSIEA-CKSUKHGVSA-N","52931235",NA,123068801,NA,NA
"902","GlcCer(d18:1/18:0)","Sphingolipids","Glycosphingolipids","HexCer","C42H81NO8","727.5962","YMYQEDCYNANIPI-WKNYTNFBSA-N","6321357",NA,14714485,NA,NA
"905","11-Hydroxytestosterone","Sterol Lipids","Steroids","C19 steroids","C19H28O3","304.203845","YQDZGFAYWGWSJK-IVGFHLEGSA-N","16118571",NA,24765731,NA,NA
"906","7,8-Dihydroneopterin","Organoheterocyclic compounds","Pterins","Pterins","C9H13N5O4","255.096754","YQIFAMYNGGOTFB-XINAWCOVSA-N","135398602",NA,2643,NA,NA
"910","C20 Sphingosine 1-phosphate","Sphingolipids","Sphingoid bases","Sphingoid base 1-P","C20H42NO5P","407.2801","YUUWWSOTAGQJFW-YIVRLKKSSA-N","46891772",NA,312185831,NA,NA
"911","CAR(DC8:0)","Fatty Acyls","Fatty esters","Short-chain acyl carnitines","C15H27NO6","317.183839","YVWVEIPYMGBQPE-GFCCVEGCSA-N","71752223",NA,164233750,NA,NA
"913","Squalene","Prenol Lipids","Isoprenoids","C30 isoprenoids","C30H50","410.3913","YYGNTYWPHWGJRM-AAJYLUCBSA-N","5280370",NA,24867671,NA,NA
"914","Nor-psi-tropine","Alkaloids","Tropane alkaloids","Tropane alkaloids","C7H13NO","127.099714","YYMCYJLIYNNOMK-UHFFFAOYSA-N","68147",NA,115351,NA,NA
"919","11Z-Eicosenoyl-CoA","Fatty Acyls","Fatty esters","Acyl CoAs","C41H72N7O17P3S","1059.3918","ZDRKXADSROCWCG-FVLDFCIYSA-N","71448924",NA,51090859,"C16530",NA
"923","S-Allylcysteine","Organic acids","Amino acids and peptides","Amino acids","C6H11NO2S","161.0510","ZFAHNWWNDFHPOH-UHFFFAOYSA-N","98280",NA,400835,NA,NA
"954","S-Methylcysteine S-oxide","Organic acids","Amino acids and peptides","Amino acids","C4H9NO3S","151.030316","ZZLHPCSGGOGHFW-BUKSALPDSA-N","182092",NA,10259639,NA,NA
"955","Eicosadienoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C20H36O2","308.2715",NA,NA,NA,NA,NA,NA
"956","Eicosapentaenoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C20H30O2","302.2246",NA,NA,NA,NA,NA,NA
"957","Eicosatetraenoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C20H32O2","304.2402",NA,NA,NA,NA,NA,NA
"958","Eicosatrienoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C20H34O2","306.2559",NA,NA,NA,NA,NA,NA
"959","TG(10:0_12:0_16:0)","Glycerolipids","Triradylglycerols","TAG","C41H78O6","666.57984",NA,NA,NA,NA,NA,NA
"960","Hexadecatetraenoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C16H24O2","248.1776",NA,NA,NA,NA,NA,NA
"961","TG(10:0_15:0_18:2)","Glycerolipids","Triradylglycerols","TAG","C46H84O6","732.62679",NA,NA,NA,NA,NA,NA
"962","Octadecatetraenoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C18H28O2","276.2089",NA,NA,NA,NA,NA,NA
"963","Octadecatrienoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C18H30O2","278.2246",NA,NA,NA,NA,NA,NA
"964","TG(10:0_18:2_18:2)","Glycerolipids","Triradylglycerols","TAG","C49H86O6","770.64244",NA,NA,NA,NA,NA,NA
"965","TG(10:0_18:2_18:3)","Glycerolipids","Triradylglycerols","TAG","C49H84O6","768.62679",NA,NA,NA,NA,NA,NA
"966","Tetracosenoic acid","Fatty Acyls","Fatty acids","Unsaturated FA","C24H46O2","366.3498",NA,NA,NA,NA,NA,NA
